retweet_count,favorite_count,rating_x0.1,dog_name
6074,27855,14,doggo
8305,41884,13,puppo
1874,13312,13,puppo
2613,18489,12,pupper
2493,17889,12,doggo
3061,19881,13,floofer
4078,24700,12,pupper
8914,44404,13,pupper
13353,43295,14,pupper
70,0,14,pupper
2795,18168,12,pupper
3891,24612,13,puppo
3471,22889,13,pupper
8553,30031,13,puppo
1327,6301,12,pupper
4545,23981,12,doggo
9212,32976,13,puppo
2958,17818,12,pupper
2926,17847,12,doggo
2629,14150,12,doggo
2109,14300,12,puppo
2954,17076,12,puppo
30066,108533,13,pupper
1360,16793,13,puppo
6573,29154,14,pupper
2785,14802,11,doggo
4356,18741,12,pupper
10350,41087,13,doggo
1617,7076,13,doggo
4846,21574,12,pupper
3307,11702,14,doggo
7136,31778,12,pupper
2175,15050,13,pupper
4255,18091,12,doggo
2745,13878,12,pupper
2306,12787,13,doggo
4434,18956,12,pupper
2008,12403,13,doggo
2140,10632,14,doggo
4295,16734,12,doggo
5646,22434,12,doggo
1440,8731,12,doggo
1036,6161,13,pupper
4590,0,12,doggo
1856,9846,11,doggo
2055,11832,14,doggo
4812,18789,12,pupper
4590,20262,12,doggo
9307,33958,13,doggo
3884,17328,12,doggo
855,4584,13,doggo
16307,53815,14,puppo
1165,5889,12,puppo
9855,11143,13,pupper
39768,123700,13,puppo
13083,26212,14,pupper
1554,7887,13,doggo
3979,11069,14,doggo
1966,9032,11,doggo
1079,5007,13,puppo
4529,12198,11,doggo
5669,0,11,pupper
2513,10196,13,doggo
7834,0,13,pupper
4371,0,12,puppo
942,4679,11,doggo
7834,21063,13,pupper
